state_id,state_name,region,stability_status,total_15min_intervals,total_duration_hours,avg_deviation_hz,max_deviation_hz
1,Rajasthan,North,WARNING BAND (>0.03 Hz),8432,2108.0,0.0376,0.05
4,Karnataka,South,WARNING BAND (>0.03 Hz),8430,2107.5,0.0377,0.05
3,Tamil Nadu,South,WARNING BAND (>0.03 Hz),8310,2077.5,0.0376,0.05
2,Gujarat,West,WARNING BAND (>0.03 Hz),8299,2074.8,0.0377,0.05
9,Uttar Pradesh,North,WARNING BAND (>0.03 Hz),6483,1620.8,0.0364,0.05
16,Kerala,South,WARNING BAND (>0.03 Hz),6344,1586.0,0.0363,0.05
11,Haryana,North,WARNING BAND (>0.03 Hz),6333,1583.3,0.0363,0.05
21,Delhi,North,WARNING BAND (>0.03 Hz),6326,1581.5,0.0363,0.05
6,Andhra Pradesh,South,WARNING BAND (>0.03 Hz),6315,1578.8,0.0363,0.05
10,Punjab,North,WARNING BAND (>0.03 Hz),6298,1574.5,0.0363,0.05
13,Odisha,East,WARNING BAND (>0.03 Hz),6228,1557.0,0.0364,0.05
5,Maharashtra,West,WARNING BAND (>0.03 Hz),6147,1536.8,0.0364,0.05
2,Gujarat,West,STATUTORY VIOLATION (>0.05 Hz),5249,1312.3,0.0764,0.2062
3,Tamil Nadu,South,STATUTORY VIOLATION (>0.05 Hz),5203,1300.8,0.0767,0.2024
4,Karnataka,South,STATUTORY VIOLATION (>0.05 Hz),5166,1291.5,0.0758,0.2075
1,Rajasthan,North,STATUTORY VIOLATION (>0.05 Hz),5141,1285.3,0.0763,0.2059
6,Andhra Pradesh,South,STATUTORY VIOLATION (>0.05 Hz),402,100.5,0.0559,0.083
16,Kerala,South,STATUTORY VIOLATION (>0.05 Hz),382,95.5,0.055,0.082
11,Haryana,North,STATUTORY VIOLATION (>0.05 Hz),367,91.8,0.0551,0.0773
21,Delhi,North,STATUTORY VIOLATION (>0.05 Hz),362,90.5,0.0554,0.0874
13,Odisha,East,STATUTORY VIOLATION (>0.05 Hz),359,89.8,0.0554,0.0829
10,Punjab,North,STATUTORY VIOLATION (>0.05 Hz),356,89.0,0.055,0.0815
5,Maharashtra,West,STATUTORY VIOLATION (>0.05 Hz),351,87.8,0.0554,0.0936
9,Uttar Pradesh,North,STATUTORY VIOLATION (>0.05 Hz),350,87.5,0.0556,0.0746
