state_id,state_name,region,source_type,curtailment_cause,event_hours,total_curtailed_mwh,avg_curtailment_pct,estimated_revenue_loss_lakh_rs
1,Rajasthan,North,SOLAR,GRID OVERSUPPLY (PEAK RE GENERATION),7736,20441757.8,28.07,919879.1
3,Tamil Nadu,South,WIND,GRID OVERSUPPLY (PEAK RE GENERATION),10825,17608046.7,28.08,792362.1
3,Tamil Nadu,South,SOLAR,GRID OVERSUPPLY (PEAK RE GENERATION),5447,7308485.1,28.17,328881.83
1,Rajasthan,North,WIND,GRID OVERSUPPLY (PEAK RE GENERATION),4400,4774854.8,28.01,214868.47
2,Gujarat,West,WIND,MINIMAL / NORMAL CURTAILMENT,16017,2604897.7,3.51,117220.4
2,Gujarat,West,SOLAR,MINIMAL / NORMAL CURTAILMENT,9398,1556536.9,3.62,70044.16
4,Karnataka,South,WIND,MINIMAL / NORMAL CURTAILMENT,15836,1347045.3,3.53,60617.04
4,Karnataka,South,SOLAR,MINIMAL / NORMAL CURTAILMENT,8961,1242589.1,3.61,55916.51
5,Maharashtra,West,WIND,MINIMAL / NORMAL CURTAILMENT,15853,1226219.6,3.52,55179.88
6,Andhra Pradesh,South,WIND,MINIMAL / NORMAL CURTAILMENT,15655,1005737.3,3.53,45258.18
5,Maharashtra,West,SOLAR,MINIMAL / NORMAL CURTAILMENT,8342,754220.9,3.57,33939.94
8,Telangana,South,SOLAR,MINIMAL / NORMAL CURTAILMENT,8250,683134.5,3.55,30741.05
7,Madhya Pradesh,West,WIND,MINIMAL / NORMAL CURTAILMENT,15413,666621.1,3.55,29997.95
6,Andhra Pradesh,South,SOLAR,MINIMAL / NORMAL CURTAILMENT,8243,659997.6,3.51,29699.89
1,Rajasthan,North,WIND,MINIMAL / NORMAL CURTAILMENT,11350,655106.8,3.53,29479.81
7,Madhya Pradesh,West,SOLAR,MINIMAL / NORMAL CURTAILMENT,8086,485709.8,3.52,21856.94
9,Uttar Pradesh,North,SOLAR,MINIMAL / NORMAL CURTAILMENT,8018,389176.4,3.51,17512.94
3,Tamil Nadu,South,WIND,MINIMAL / NORMAL CURTAILMENT,5249,322726.1,3.55,14522.67
3,Tamil Nadu,South,SOLAR,MINIMAL / NORMAL CURTAILMENT,3366,179388.7,3.73,8072.49
10,Punjab,North,SOLAR,MINIMAL / NORMAL CURTAILMENT,7529,164487.1,3.61,7401.92
11,Haryana,North,SOLAR,MINIMAL / NORMAL CURTAILMENT,7443,150589.3,3.63,6776.52
13,Odisha,East,SOLAR,MINIMAL / NORMAL CURTAILMENT,5314,57522.2,3.98,2588.5
16,Kerala,South,SOLAR,MINIMAL / NORMAL CURTAILMENT,5100,53002.0,4.04,2385.09
1,Rajasthan,North,SOLAR,MINIMAL / NORMAL CURTAILMENT,2556,50405.3,4.0,2268.24
15,Chhattisgarh,West,SOLAR,MINIMAL / NORMAL CURTAILMENT,4855,48294.1,4.09,2173.23
20,Uttarakhand,North,SOLAR,MINIMAL / NORMAL CURTAILMENT,3870,32370.7,4.36,1456.68
21,Delhi,North,SOLAR,MINIMAL / NORMAL CURTAILMENT,3276,25279.6,4.48,1137.58
12,West Bengal,East,SOLAR,MINIMAL / NORMAL CURTAILMENT,2855,20947.5,4.64,942.64
8,Telangana,South,WIND,MINIMAL / NORMAL CURTAILMENT,2769,18897.2,4.82,850.37
14,Bihar,East,SOLAR,MINIMAL / NORMAL CURTAILMENT,2062,13937.4,4.85,627.18
18,Assam,Northeast,SOLAR,MINIMAL / NORMAL CURTAILMENT,727,4186.8,5.32,188.41
2,Gujarat,West,WIND,HIGH WIND SAFETY CUTOFF,8,2657.9,3.42,119.61
5,Maharashtra,West,WIND,HIGH WIND SAFETY CUTOFF,7,1422.8,4.43,64.03
17,Jharkhand,East,SOLAR,MINIMAL / NORMAL CURTAILMENT,134,714.0,5.7,32.13
6,Andhra Pradesh,South,WIND,HIGH WIND SAFETY CUTOFF,4,562.7,3.72,25.32
7,Madhya Pradesh,West,WIND,HIGH WIND SAFETY CUTOFF,6,402.6,2.66,18.12
4,Karnataka,South,WIND,HIGH WIND SAFETY CUTOFF,2,387.9,3.85,17.46
19,Himachal Pradesh,North,SOLAR,MINIMAL / NORMAL CURTAILMENT,24,124.7,5.9,5.61
8,Telangana,South,WIND,HIGH WIND SAFETY CUTOFF,3,23.2,4.3,1.04
