state_id,state_name,region,total_re_capacity_mw,base_demand_mw,re_penetration_ratio_pct,state_curtail_pct,freq_range_hz,avg_freq_deviation_hz,grid_vulnerability_rank
3,Tamil Nadu,South,18200,17500,104.0,24.62,0.398,0.02,1
1,Rajasthan,North,23700,14500,163.4,23.53,0.4044,0.02,2
4,Karnataka,South,14500,15800,91.8,3.5,0.3993,0.02,3
2,Gujarat,West,22000,19000,115.8,3.49,0.3878,0.02,4
9,Uttar Pradesh,North,2850,25000,11.4,3.5,0.1461,0.0144,5
16,Kerala,South,530,4800,11.0,3.49,0.1538,0.0144,6
11,Haryana,North,1100,12000,9.2,3.5,0.1475,0.0143,7
10,Punjab,North,1200,13500,8.9,3.49,0.1605,0.0143,8
6,Andhra Pradesh,South,9000,12200,73.8,3.48,0.1639,0.0143,9
13,Odisha,East,530,6800,7.8,3.48,0.164,0.0143,9
5,Maharashtra,West,10500,26000,40.4,3.5,0.1719,0.0142,10
21,Delhi,North,280,7800,3.6,3.46,0.163,0.0143,11
7,Madhya Pradesh,West,6300,11500,54.8,3.49,0.0,0.0,12
8,Telangana,South,5100,13800,37.0,3.5,0.0,0.0,12
12,West Bengal,East,300,10500,2.9,3.51,0.0,0.0,12
14,Bihar,East,210,7200,2.9,3.52,0.0,0.0,12
15,Chhattisgarh,West,420,5900,7.1,3.49,0.0,0.0,12
17,Jharkhand,East,120,3500,3.4,3.49,0.0,0.0,12
18,Assam,Northeast,150,2400,6.3,3.5,0.0,0.0,12
19,Himachal Pradesh,North,110,2100,5.2,3.47,0.0,0.0,12
20,Uttarakhand,North,320,2600,12.3,3.5,0.0,0.0,12
22,Goa,West,40,700,5.7,3.44,0.0,0.0,12
23,Jammu & Kashmir,North,60,2200,2.7,3.48,0.0,0.0,12
24,Tripura,Northeast,25,350,7.1,3.48,0.0,0.0,12
25,Meghalaya,Northeast,10,400,2.5,3.49,0.0,0.0,12
26,Manipur,Northeast,15,300,5.0,3.45,0.0,0.0,12
27,Nagaland,Northeast,5,200,2.5,3.37,0.0,0.0,12
28,Arunachal Pradesh,Northeast,12,180,6.7,3.47,0.0,0.0,12
