hex_id,highway_name,segment_km,lat,lon,daily_ev_demand,critical_demand,existing_chargers,total_charging_capacity_kw,unmet_daily_trips_gap,grid_stress_index,criticality_index,highway_priority_rank
873ca4576ffffff,NH-27 (East-West Corridor: Porbandar-Jhansi-Muzaffarpur-Guwahati),1875.0,24.028,81.4373,649,77,0,0,649,0.53,,1
873c9e325ffffff,NH-16 (East Coast: Kolkata-Bhubaneswar-Visakhapatnam-Chennai),765.0,18.2592,84.6785,647,77,0,0,647,0.37,,1
8742ce798ffffff,NH-27 (East-West Corridor: Porbandar-Jhansi-Muzaffarpur-Guwahati),450.0,22.153,72.4624,644,77,0,0,644,0.31,,1
876095aedffffff,NH-44 (North-South Corridor: Delhi-Agra-Nagpur-Bangalore-Kanyakumari),1665.0,19.5008,77.3311,638,76,0,0,638,0.54,,1
873c16548ffffff,NH-19 (Delhi-Kolkata via Varanasi),750.0,25.4806,82.9727,649,77,1,60,634,0.35,77.0,2
873c1b02dffffff,NH-27 (East-West Corridor: Porbandar-Jhansi-Muzaffarpur-Guwahati),3000.0,25.4308,88.4371,649,77,1,22,634,0.5,77.0,2
8742c202dffffff,NH-27 (East-West Corridor: Porbandar-Jhansi-Muzaffarpur-Guwahati),105.0,21.7218,70.2636,633,75,0,0,633,0.55,,1
876030306ffffff,NH-44 (North-South Corridor: Delhi-Agra-Nagpur-Bangalore-Kanyakumari),3270.0,10.6374,77.4765,648,77,1,22,633,0.47,77.0,2
8742ce40bffffff,NH-27 (East-West Corridor: Porbandar-Jhansi-Muzaffarpur-Guwahati),420.0,22.2112,72.2176,647,77,1,60,632,0.44,77.0,2
8742ca9b6ffffff,NH-27 (East-West Corridor: Porbandar-Jhansi-Muzaffarpur-Guwahati),525.0,22.2355,72.7929,630,75,0,0,630,0.28,,1
873c1b340ffffff,NH-27 (East-West Corridor: Porbandar-Jhansi-Muzaffarpur-Guwahati),3075.0,25.5024,88.9151,644,77,1,120,629,0.38,77.0,2
873d86a4cffffff,NH-44 (North-South Corridor: Delhi-Agra-Nagpur-Bangalore-Kanyakumari),510.0,25.7676,77.1719,642,77,1,22,627,0.48,77.0,2
8760848a4ffffff,NH-65 (Pune-Hyderabad-Machilipatnam),435.0,17.4046,77.5115,641,76,1,120,626,0.3,76.0,2
873da3ab0ffffff,NH-48 (Golden Quadrilateral West: Delhi-Jaipur-Ahmedabad-Mumbai-Bangalore),165.0,27.6145,77.1723,625,75,0,0,625,0.28,,1
87608d4aaffffff,NH-66 (Panvel-Goa-Mangalore-Kanyakumari Coastal West),180.0,17.673,73.5609,639,76,1,120,624,0.31,76.0,2
873c9e315ffffff,NH-16 (East Coast: Kolkata-Bhubaneswar-Visakhapatnam-Chennai),780.0,18.1611,84.6786,623,74,0,0,623,0.44,,1
876088ca2ffffff,NH-65 (Pune-Hyderabad-Machilipatnam),30.0,18.3934,74.0223,623,74,0,0,623,0.45,,1
876093c6affffff,NH-48 (Golden Quadrilateral West: Delhi-Jaipur-Ahmedabad-Mumbai-Bangalore),1275.0,21.5277,77.3409,634,76,1,60,619,0.33,76.0,2
8760a34b4ffffff,NH-44 (North-South Corridor: Delhi-Agra-Nagpur-Bangalore-Kanyakumari),2115.0,17.0832,77.3371,633,75,1,60,618,0.6,75.0,3
873c9e0a9ffffff,NH-16 (East Coast: Kolkata-Bhubaneswar-Visakhapatnam-Chennai),825.0,17.9879,84.4132,616,73,0,0,616,0.31,,1
873da4a58ffffff,NH-52 (Sangrur-Indore-Ankleshwar),195.0,29.0325,75.4077,616,73,0,0,616,0.54,,1
873da3b0bffffff,NH-48 (Golden Quadrilateral West: Delhi-Jaipur-Ahmedabad-Mumbai-Bangalore),135.0,27.8647,77.1955,630,75,1,60,615,0.47,75.0,3
8742ca85bffffff,NH-52 (Sangrur-Indore-Ankleshwar),1335.0,22.3197,73.2195,627,75,1,150,612,0.5,75.0,2
876084460ffffff,NH-44 (North-South Corridor: Delhi-Agra-Nagpur-Bangalore-Kanyakumari),1935.0,17.9394,77.3307,626,75,1,60,611,0.39,75.0,3
873da3728ffffff,NH-48 (Golden Quadrilateral West: Delhi-Jaipur-Ahmedabad-Mumbai-Bangalore),240.0,27.2203,77.2081,626,75,1,150,611,0.4,75.0,3
873dae3a8ffffff,NH-19 (Delhi-Kolkata via Varanasi),180.0,27.8638,78.5448,625,75,1,120,610,0.56,75.0,3
8760357b2ffffff,NH-44 (North-South Corridor: Delhi-Agra-Nagpur-Bangalore-Kanyakumari),3375.0,10.0885,77.5298,625,75,1,120,610,0.38,75.0,3
