state_id,state_name,region,diurnal_period,total_15min_intervals,avg_demand_mw,max_demand_mw,avg_frequency_hz,frequency_violation_rate_pct
6,Andhra Pradesh,South,BASE / OFF-PEAK HOURS,40880,11726.1,15546.4,49.9999,0.55
6,Andhra Pradesh,South,EVENING PEAK (6 PM - 10 PM),14600,14437.6,16832.4,50.0001,0.55
6,Andhra Pradesh,South,SOLAR PEAK (11 AM - 3 PM),14600,14947.5,15959.5,50.0,0.67
21,Delhi,North,BASE / OFF-PEAK HOURS,40880,7498.8,10186.9,50.0001,0.52
21,Delhi,North,EVENING PEAK (6 PM - 10 PM),14600,9229.8,10874.4,49.9998,0.55
21,Delhi,North,SOLAR PEAK (11 AM - 3 PM),14600,9556.0,10488.0,49.9999,0.47
2,Gujarat,West,BASE / OFF-PEAK HOURS,40880,18264.1,23849.8,50.0,2.96
2,Gujarat,West,EVENING PEAK (6 PM - 10 PM),14600,22487.9,25409.9,50.0,7.15
2,Gujarat,West,SOLAR PEAK (11 AM - 3 PM),14600,23281.4,24387.3,50.0002,20.52
11,Haryana,North,BASE / OFF-PEAK HOURS,40880,11533.3,15211.8,49.9999,0.51
11,Haryana,North,EVENING PEAK (6 PM - 10 PM),14600,14201.5,16345.9,50.0,0.59
11,Haryana,North,SOLAR PEAK (11 AM - 3 PM),14600,14702.1,15703.5,49.9996,0.49
4,Karnataka,South,BASE / OFF-PEAK HOURS,40880,15187.2,19783.4,50.0,3.04
4,Karnataka,South,EVENING PEAK (6 PM - 10 PM),14600,18699.0,21251.1,50.0002,6.75
4,Karnataka,South,SOLAR PEAK (11 AM - 3 PM),14600,19356.3,20484.5,49.9997,20.12
16,Kerala,South,BASE / OFF-PEAK HOURS,40880,4612.9,6481.1,50.0001,0.58
16,Kerala,South,EVENING PEAK (6 PM - 10 PM),14600,5677.6,6812.9,50.0,0.5
16,Kerala,South,SOLAR PEAK (11 AM - 3 PM),14600,5879.9,6758.4,49.9999,0.49
5,Maharashtra,West,BASE / OFF-PEAK HOURS,40880,24990.9,32347.3,50.0,0.49
5,Maharashtra,West,EVENING PEAK (6 PM - 10 PM),14600,30769.0,34495.6,49.9998,0.5
5,Maharashtra,West,SOLAR PEAK (11 AM - 3 PM),14600,31859.5,33171.3,50.0001,0.52
13,Odisha,East,BASE / OFF-PEAK HOURS,40880,6535.7,8998.7,49.9999,0.52
13,Odisha,East,EVENING PEAK (6 PM - 10 PM),14600,8045.8,9677.6,50.0,0.55
13,Odisha,East,SOLAR PEAK (11 AM - 3 PM),14600,8333.8,9295.9,49.9998,0.45
10,Punjab,North,BASE / OFF-PEAK HOURS,40880,12976.1,17223.0,50.0,0.52
10,Punjab,North,EVENING PEAK (6 PM - 10 PM),14600,15976.0,18210.7,49.9999,0.46
10,Punjab,North,SOLAR PEAK (11 AM - 3 PM),14600,16541.7,17623.1,50.0001,0.53
1,Rajasthan,North,BASE / OFF-PEAK HOURS,40880,13937.1,18347.7,49.9999,2.81
1,Rajasthan,North,EVENING PEAK (6 PM - 10 PM),14600,17163.0,19660.7,50.0,7.14
1,Rajasthan,North,SOLAR PEAK (11 AM - 3 PM),14600,17766.5,18831.7,49.9996,20.19
3,Tamil Nadu,South,BASE / OFF-PEAK HOURS,40880,16821.9,21978.1,49.9999,2.89
3,Tamil Nadu,South,EVENING PEAK (6 PM - 10 PM),14600,20707.9,23477.0,49.9999,7.01
3,Tamil Nadu,South,SOLAR PEAK (11 AM - 3 PM),14600,21441.7,22585.5,50.0006,20.53
9,Uttar Pradesh,North,BASE / OFF-PEAK HOURS,40880,24027.9,31078.7,50.0,0.53
9,Uttar Pradesh,North,EVENING PEAK (6 PM - 10 PM),14600,29588.1,33204.3,50.0,0.45
9,Uttar Pradesh,North,SOLAR PEAK (11 AM - 3 PM),14600,30631.0,31904.8,50.0001,0.48
